TCRD ID	TDL	Description	Ligand ID	Drug ID
12783	Tchem	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	12255	
12784	Tchem	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial	12260	
13027	Tchem	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	6797	
3600	Tchem	1-phosphatidylinositol 3-phosphate 5-kinase	17477	
13291	Tchem	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	5902	
13028	Tchem	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	12153	
12907	Tchem	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	5524	
11441	Tchem	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	578	
4936	Tchem	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	10512	
606	Tchem	14-3-3 protein beta/alpha	1889	
341	Tchem	14-3-3 protein epsilon	6944	
201	Tchem	14-3-3 protein eta	19688	
608	Tchem	14-3-3 protein theta	920	
12861	Tchem	15-hydroxyprostaglandin dehydrogenase [NAD(+)]	4920	
5548	Tchem	17-beta-hydroxysteroid dehydrogenase 14	17147	
15115	Tchem	2-5A-dependent ribonuclease	16614	
11212	Tchem	2-acylglycerol O-acyltransferase 2	10901	
5721	Tchem	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	4389	
5207	Tchem	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	8462	
13499	Tchem	26S protease regulatory subunit 10B	7530	
13501	Tchem	26S protease regulatory subunit 7	13761	
13448	Tchem	26S proteasome non-ATPase regulatory subunit 1	17981	
13800	Tchem	26S proteasome non-ATPase regulatory subunit 10	13965	
13801	Tchem	26S proteasome non-ATPase regulatory subunit 13	4986	
13508	Tchem	26S proteasome non-ATPase regulatory subunit 7	7479	
222	Tchem	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	1072	
6016	Tchem	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	12268	
7502	Tchem	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	11688	
5445	Tchem	3-keto-steroid reductase	19507	
12612	Tchem	3-phosphoinositide-dependent protein kinase 1	8455	
7459	Tchem	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	29	
798	Tchem	4-trimethylaminobutyraldehyde dehydrogenase	4264	
15267	Tchem	40S ribosomal protein S27	3657	
15554	Tchem	40S ribosomal protein S6	9659	
15380	Tchem	40S ribosomal protein SA	16396	
88	Tchem	5-hydroxytryptamine receptor 1E	5	
289	Tchem	5-hydroxytryptamine receptor 1F	1360	
90	Tchem	5-hydroxytryptamine receptor 3B	14809	
290	Tchem	5-hydroxytryptamine receptor 3C	64	
91	Tchem	5-hydroxytryptamine receptor 3D	11458	
19	Tchem	5-hydroxytryptamine receptor 3E	10267	
92	Tchem	5-hydroxytryptamine receptor 5A	13330	
93	Tchem	5-hydroxytryptamine receptor 6	6117	
18453	Tchem	5,6-dihydroxyindole-2-carboxylic acid oxidase	2207	
104	Tchem	5'-AMP-activated protein kinase catalytic subunit alpha-1	19112	
142	Tchem	5'-AMP-activated protein kinase catalytic subunit alpha-2	1897	
